latitude,longitude,depth,gap,dmin,nst
3.295,95.982,30.0,22.0,2.082,601.0
-2.427,103.981,582.1,33.7,2.082,641.0
-6.04,113.109,579.4,26.5,2.082,417.0
5.316,95.9,124.8,35.2,2.082,496.0
-7.324,126.051,409.2,40.5,2.082,325.0
4.529,122.511,635.4,36.8,2.082,365.0
-7.075,123.675,584.7,65.5,2.082,165.0
4.983,123.158,602.5,101.0,2.082,154.0
-7.161,117.488,521.0,101.0,2.082,371.0
-7.018,123.357,648.5,101.0,2.082,517.0
-6.864,123.978,605.2,23.8,2.082,248.0
4.079,122.371,574.0,17.4,2.082,326.0
-6.115,112.9,590.5,22.8,2.082,217.0
-7.146,123.427,642.4,19.5,2.082,350.0
-7.389,120.642,586.4,35.0,2.082,216.0
-6.941,123.241,658.8,39.7,2.082,145.0
5.323,124.26,431.9,38.3,2.082,180.0
5.752,125.377,206.0,19.8,2.082,328.0
-7.393,124.745,398.0,35.2,2.082,416.0
3.528,122.514,598.9,59.1,2.082,105.0
1.022,121.024,566.7,69.4,2.082,191.0
2.768,95.964,26.0,16.4,2.082,607.0
-5.619,110.197,549.8,34.6,2.082,128.0
4.743,95.06,49.3,35.2,2.082,484.0
-5.926,107.681,291.2,32.1,2.082,531.0
3.776,96.336,74.2,26.3,2.082,398.0
4.815,95.018,36.0,60.2,2.082,455.0
3.39,99.079,204.0,18.1,2.082,537.0
-6.39,127.998,345.0,32.2,2.082,286.0
-7.219,120.106,572.0,29.5,2.082,357.0
