contamination,latitude,longitude,depth,gap,dmin,nst
0.002,3.295,95.982,30.0,22.0,2.082,601.0
0.002,-2.427,103.981,582.1,33.7,2.082,641.0
0.002,-6.04,113.109,579.4,26.5,2.082,417.0
0.002,5.316,95.9,124.8,35.2,2.082,496.0
0.002,-7.324,126.051,409.2,40.5,2.082,325.0
0.002,4.529,122.511,635.4,36.8,2.082,365.0
0.002,-7.075,123.675,584.7,65.5,2.082,165.0
0.002,4.983,123.158,602.5,101.0,2.082,154.0
0.002,-7.161,117.488,521.0,101.0,2.082,371.0
0.002,-7.018,123.357,648.5,101.0,2.082,517.0
0.002,-6.864,123.978,605.2,23.8,2.082,248.0
0.002,4.079,122.371,574.0,17.4,2.082,326.0
0.002,-6.115,112.9,590.5,22.8,2.082,217.0
0.002,-7.146,123.427,642.4,19.5,2.082,350.0
0.002,-7.389,120.642,586.4,35.0,2.082,216.0
0.002,-6.941,123.241,658.8,39.7,2.082,145.0
0.002,5.323,124.26,431.9,38.3,2.082,180.0
0.002,5.752,125.377,206.0,19.8,2.082,328.0
0.002,-7.393,124.745,398.0,35.2,2.082,416.0
0.002,3.528,122.514,598.9,59.1,2.082,105.0
0.002,1.022,121.024,566.7,69.4,2.082,191.0
0.002,2.768,95.964,26.0,16.4,2.082,607.0
0.002,-5.619,110.197,549.8,34.6,2.082,128.0
0.002,4.743,95.06,49.3,35.2,2.082,484.0
0.002,-5.926,107.681,291.2,32.1,2.082,531.0
0.002,3.776,96.336,74.2,26.3,2.082,398.0
0.002,4.815,95.018,36.0,60.2,2.082,455.0
0.002,3.39,99.079,204.0,18.1,2.082,537.0
0.002,-6.39,127.998,345.0,32.2,2.082,286.0
0.002,-7.219,120.106,572.0,29.5,2.082,357.0
0.005,4.732,95.205,36.0,59.9,2.082,308.0
0.005,2.93,95.606,28.9,39.5,2.082,271.0
0.005,4.724,95.11,49.7,37.1,2.082,292.0
0.005,3.295,95.982,30.0,22.0,2.082,601.0
0.005,-3.609,135.404,10.0,28.8,2.082,439.0
0.005,2.376,122.212,543.4,29.0,2.082,151.0
0.005,5.57,123.873,580.7,173.4,2.082,15.0
0.005,-2.427,103.981,582.1,33.7,2.082,641.0
0.005,-6.04,113.109,579.4,26.5,2.082,417.0
0.005,-6.854,116.836,582.7,144.2,2.082,21.0
0.005,4.232,123.103,600.0,155.0,2.082,17.0
0.005,-7.05,125.407,532.7,52.7,2.082,228.0
0.005,5.316,95.9,124.8,35.2,2.082,496.0
0.005,-7.324,126.051,409.2,40.5,2.082,325.0
0.005,4.529,122.511,635.4,36.8,2.082,365.0
0.005,-6.016,113.242,581.8,39.9,2.082,111.0
0.005,-7.207,122.697,573.4,63.6,2.082,214.0
0.005,-7.075,123.675,584.7,65.5,2.082,165.0
0.005,4.111,97.72,138.5,101.0,2.082,398.0
0.005,4.983,123.158,602.5,101.0,2.082,154.0
0.005,-7.185,120.507,599.3,101.0,2.082,168.0
0.005,-7.161,117.488,521.0,101.0,2.082,371.0
0.005,-5.711,110.622,560.9,101.0,2.082,187.0
0.005,5.069,123.212,588.3,101.0,2.082,207.0
0.005,-7.018,123.357,648.5,101.0,2.082,517.0
0.005,-7.096,125.906,496.1,101.0,2.082,260.0
0.005,-6.813,125.676,527.7,39.6,2.082,128.0
0.005,-1.434,99.393,19.0,19.3,2.082,391.0
0.005,2.759,95.91,21.0,17.9,2.082,245.0
0.005,-10.403,118.885,15.0,30.1,2.082,306.0
0.0075,4.732,95.205,36.0,59.9,2.082,308.0
0.0075,2.93,95.606,28.9,39.5,2.082,271.0
0.0075,4.724,95.11,49.7,37.1,2.082,292.0
0.0075,4.471,96.342,30.0,41.7,2.082,233.0
0.0075,3.295,95.982,30.0,22.0,2.082,601.0
0.0075,-3.609,135.404,10.0,28.8,2.082,439.0
0.0075,-8.51,122.888,633.7,183.6,2.082,8.0
0.0075,-7.227,117.601,591.9,153.5,2.082,11.0
0.0075,2.376,122.212,543.4,29.0,2.082,151.0
0.0075,5.57,123.873,580.7,173.4,2.082,15.0
0.0075,-2.427,103.981,582.1,33.7,2.082,641.0
0.0075,-6.04,113.109,579.4,26.5,2.082,417.0
0.0075,0.415,97.825,21.0,26.2,2.082,364.0
0.0075,-1.559,100.488,42.0,48.5,2.082,611.0
0.0075,-7.142,124.85,536.2,176.2,2.082,7.0
0.0075,-6.854,116.836,582.7,144.2,2.082,21.0
0.0075,-6.156,113.73,588.6,54.6,2.082,59.0
0.0075,4.232,123.103,600.0,155.0,2.082,17.0
0.0075,3.745,122.354,608.3,67.9,2.082,72.0
0.0075,-7.05,125.407,532.7,52.7,2.082,228.0
0.0075,5.316,95.9,124.8,35.2,2.082,496.0
0.0075,-7.324,126.051,409.2,40.5,2.082,325.0
0.0075,3.706,122.253,608.9,69.1,2.082,59.0
0.0075,-8.682,111.227,56.2,19.4,2.082,397.0
0.0075,4.529,122.511,635.4,36.8,2.082,365.0
0.0075,-6.016,113.242,581.8,39.9,2.082,111.0
0.0075,-7.207,122.697,573.4,63.6,2.082,214.0
0.0075,-7.075,123.675,584.7,65.5,2.082,165.0
0.0075,5.039,123.194,600.0,101.0,2.082,41.0
0.0075,1.947,122.682,483.0,101.0,2.082,89.0
0.01,4.338,122.826,622.9,101.0,2.082,24.0
0.01,5.674,124.044,550.0,101.0,2.082,24.0
0.01,4.732,95.205,36.0,59.9,2.082,308.0
0.01,2.93,95.606,28.9,39.5,2.082,271.0
0.01,4.724,95.11,49.7,37.1,2.082,292.0
0.01,4.471,96.342,30.0,41.7,2.082,233.0
0.01,3.295,95.982,30.0,22.0,2.082,601.0
0.01,-3.609,135.404,10.0,28.8,2.082,439.0
0.01,5.79,123.901,574.8,124.2,2.082,25.0
0.01,-5.831,110.421,641.5,126.7,2.082,14.0
0.01,-8.51,122.888,633.7,183.6,2.082,8.0
0.01,-7.227,117.601,591.9,153.5,2.082,11.0
0.01,-6.066,130.528,89.9,25.7,2.082,346.0
0.01,2.376,122.212,543.4,29.0,2.082,151.0
0.01,5.57,123.873,580.7,173.4,2.082,15.0
0.01,-2.667,103.36,604.7,184.0,2.082,19.0
0.01,-2.427,103.981,582.1,33.7,2.082,641.0
0.01,-6.98,124.881,548.9,57.4,2.082,157.0
0.01,-6.04,113.109,579.4,26.5,2.082,417.0
0.01,0.415,97.825,21.0,26.2,2.082,364.0
0.01,-1.549,100.54,65.6,49.6,2.082,361.0
0.01,-1.559,100.488,42.0,48.5,2.082,611.0
0.01,-4.003,135.023,10.0,23.0,2.082,390.0
0.01,-7.142,124.85,536.2,176.2,2.082,7.0
0.01,-7.325,119.988,620.0,56.8,2.082,46.0
0.01,-6.854,116.836,582.7,144.2,2.082,21.0
